HYPO	PARAPHRASES	MINIMAL UNITS CORPUS
She can't see but darkness: she's desperate.    	She feels she is in the darkness: she's desperate.	She can't see anything since the accident impaired her view.
Seeing you again - my life seems to stop there. 	Seeing you again - my life is changed irrevocably by this.	I'll stay here to stop you running away.
This new computer program is all Greek to me. 	His new computer program is very difficult for me to understand.	Wine selection is all Greek.
The boy is an Adonis...and he knows it.  	The boy is handsome...and he knows it.	Apollo and Adonis are tributes to beauty.
I wouldn't miss the party for anything in the world. 	I don't want to miss the party.	My aunt does not love the world or anything in the world.
"At this price, it's a steal!      "	"At this price, it's a very good deal!"	A steal must be prevented.
I wear my favourite t-shirt day in day out.   	I wear my favourite t-shirt repeatedly.	I use my voice day in day out.
"She stood frozen, searching for him.    "	"She stood still, searching for him."	Frozen meals may sound the answer to a quick meal.
My oral exam was very quick. I was done seconds after entering the classroom. 	My oral exam was very quick. I was done soon after entering the classroom.	"Seconds after the sound, a consonant appears on the screen."
The reputation of this pizza's hanging by a thread.  	The reputation of this pizza is at risk.	A needle was hanging by a thread.
"A friend of mine brought the chips into work with the claim ""these will change your life"". "	"A friend of mine brought the chips into work with the claim ""these are excellent""."	"Unfortunately,  these surgeries will change your life."
I'm begging! Give me the last piece of the cake.	I'm requesting! Give me the last piece of the cake.	"You'll end up on the street, begging for some money."
The water in the sea is almost boiling.   	The water in the sea is really hot.	Almost boiling hot water poured out of the taps.
Life goes in a heartbeat.     	Life goes in a little bit of time.	The sound of a heartbeat helps you relax in stressful situations.
Music is my daily drug.     	Music is important to me.	I have an excuse to take my daily drug.
Fools rush in where angels fear to tread.  	Fools rush in where experienced people would not.	Angels fear to tread in the evil places of life.
The sins of the people would weight so heavy upon the land that the whole town would collapse.  	The sins of the people are very severe.	The cans weight so heavy that the whole shelves would collapse.
The player is undeniably talented. 	The player is very talented.	"Reports of the stakes vary, but the odds were undeniably high."
She met my dad and then got whizzed off to so many different countries.  	She met my dad and then got taken quickly off to so many different countries.	A mass of footage whizzed across the screens.
"Oh, you are soaked to the bone, monsieur.   "	"Oh, you are very wet, monsieur."	"Marinate the chicken for days, until it is soaked to the bone."
We were getting to be like two goldfish in a bowl with no way out.  	We were getting trapped with no way out.	There were two goldfish in a bowl.
"Oh, my mother, if you cough somewhere in Siberia she'll hear you.   "	My mother has good hearing.	She'll hear you crying.
"Intellectually speaking, this city is almost as sterile as the Sahara Desert.  "	"Intellectually speaking, this city is very sterile."	"One day, the city was as hot as the Sahara Desert."
She has a fairy aura.  	She has a nice sense about her.	She red many fairy adventures.
A man without purpose is an empty individual.    	A man without a purpose is an unfulfilled individual.	I see an empty seat at the briefing table.
He is a good dog who goes to church.    	He is a good faithful man who goes to church.	Here is the dog who goes to church with his owner.
This spray will fill your days with the freshness of the ocean breeze.  	This spray has the odour of freshness of the ocean breeze.	Fill your wardrobe with the latest peasant shirts.
For dinner he would eat a silo full of grain.  	For dinner he would eat a lot of grain.	Falling into a silo full of grain can be a problem.
"The temperature was so low, I saw polar bears wearing jackets.  "	The temperature was low.	Polar bears can live healthily at a low temperature.
Bikers coming from behind you are a calamity on the roads.  	Bikers coming from behind you are a danger on the roads.	The first calamity was a disastrous trade war.
"His teeth would uncover, and shine savage like the furnaces.  "	"His teeth would uncover, and shine very bright."	The bonfires shine savage like furnaces.
Taking my eyes off her is absurd.   	I don't want to stop looking at her.	Supporting the flatness of Earth is absurd.
"I only step on your toe, don't make a federal case out of it.   "	"I only step on your toe, don't make a big deal out of it."	The federal case was due to be decided by a jury.
Jack Marshall wouldn't hurt a fly. 	Jack Marshall wouldn't hurt anyone.	Only a fly was caught in the chamber with him.
An idle brain is the devil's workshop.  	An idle brain is the place where evil thoughts arise.	
Ice-cream saves human beings from boredom.   	Ice-cream stops you from feeling bored.	A pet dog saved his owner from a knife attack.
You are but unreasoning apes.     	You are very unreasoning persons.	Humans and apes have a common ancestor.
He has a whole room filled with cash.   	He has a lot of cash.	Scrooge McDuck had a whole room filled with cash.
I'm a hundred percent American.    	I am truly American.	T-Shirts are a hundred percent cotton.
"No matter what anybody says, you'll always be a prince to me.  "	No matter what anybody says you will always be important to me.	The boy uses his wishes to become a prince.
"Of the two brothers, the oldest was unquestionably the smartest. "	"Of the two brothers, the oldest was the smartest."	The property unquestionably belongs to the citizens.
Ours is the world's favourite airline.   	Ours is a favorite airline of many people in the world.	English is the world's international language.
Marta is pathologically unpunctual to her appointments.   	Marta is late to her appointments.	The five cases classified pathologically.
Stop bothering him: you're playing with fire.    	Stop bothering him: you're inviting trouble.	Playing with fire will get her burned.
It took him about an hour to comb his hair.    	It took him a fair bit of time to comb his hair.	Dinner will be ready in about an hour.
College students eat crap.        	College students eat unhealthy food.	The amount of crap that adorns my pavement is enormous.
Life is rushing by like a river in flood.    	Life is rushing by very quickly.	You should never cross a river in flood.
His nose became so long that he could not even turn around.  	His nose became so long that it troubled him.	A Puma was kept in a cage so small he could not even turn around.
The old driver arrived not a second too soon.  	The old driver arrived on time.	The spacecraft was launched not a second too soon.
It must be a dream! 	It is very hard to believe!	"I could fly and become invisible, so I realized it must be a dream!"
He has as many debts as a dog has fleas. 	He has many debts.	My friend's dog has fleas.
His piano playing is enough to make Beethoven turn in his grave. 	His piano playing is very bad.	
That chocolate melts in your mouth like a single snowflake in the palm of your hand.    	That chocolate melts in your mouth smoothly.	The touch of this mosquito is like a single snowflake in the palm of your hand.
At no time does a watched pot boil.  	A watched pot seems to take a long time to boil.	At no time did we throw the towel in.
The work of the farm seemed to rest entirely on this horse's mighty shoulders.  	The work of the farm seemed to rest on this horse's mighty shoulders.	The photo fits entirely in one page.
Shopping drained me today. 	Shopping exhausted me today.	"To vary, use drained green peppercorns in brine."
"Here he was, in total control.  "	"Here he was, in control."	Total elimination of one ingredient is irrelevant.
Shower her with compliments.  	Give her a lot of compliments.	He rushed inside to shower her with cold water.
Life is a hospital where we fight to cure ourselves.   	Life is a place where we fight to cure ourselves.	"More than a hospital, it looked like a resort."
Let's be best friends in perpetuity.      	Let's be best friends for the whole of our lives.	The community does not hold land in perpetuity.
I'm burning of envy.        	I'm very envious.	Keep the candle burning.
The tourists will soak up any information you give them. 	The tourists will take in any information you give them.	The towel will soak up any remaining liquid.
Making drastic choice is necessary for an adventurous life.   	Making drastic choice is useful for an adventurous life.	Gravity is necessary for life as we know it.
Professors read a boatload of essays.     	Professors read a lot of essays.	The girls met on a boatload of refugees.
"He that drinks beer, only thinks beer.   "	"He that drinks beer, often thinks of beer."	He only thinks of philosphy as an esoteric discipline.
"If our plan goes up in smoke, I leave the group. "	"If our plan fails, I leave the group."	Tracey's kitchen goes up in smoke.
She can have any boy that she wants.     	She will have no shortage of boyfriends.	I don't know any boy of that name.
Anna's cooking is a force of nature.   	Anna's cooking is good.	We can contrast gravitation with a force of nature like electromagnetism.
They cooked a turkey the size of a cow.  	They cooked a big turkey.	The baby elephant was already the size of a cow.
It is enough to fright you out of your seven senses.   	It is enough to frighten you.	There are seven senses in which the term has been used by legislatures.
I'm sold!  	I'm convinced!	Many brands are sold commercially for far less.
"My dog is so ugly, we had to pay the fleas to live on him.  "	My dog is really ugly.	
It's unfair how the media is martyrizing the ten year old boy.  	It is unfair how the media is mistreating the ten year old boy.	"On the emperor's order, the soldiers began martyrizing the Christians."
There are no words to describe my admiration.  	I can find not many words to describe my admiration.	She found no words to describe her admiration.
His ambitious hunger moves him to a pantagruelic attempt.   	His ambitious hunger moves him to a very large attempt.	He likes the pantagruelic world described by Rabelais.
"You are a vision of loveliness, darling!  "	"You are very cute, darling!"	Our vision of the effects of the crisis has changed.
That was the easiest question in the world.  	That was an easy question.	
"When sorrows come, they come not single but in battalions.   "	"When sorrows come, they come not single but many at a time."	Collective training of the battalion is conducted here.
April is the cruelest month.    	April is the worst month.	The cruelest judgment I received is that I was a liar.
I've found my Atlantis not far from home.   	I've found the place I want to be not far from home.	Legendary Atlantis still excites the minds of researchers.
"His classmates laughed at him, saying he had a pea-sized brain.  "	His classmates laughed at him saying he had a very little brain.	I saw a pea sized circular mass on my left arm.
Shami and Peter are deliriously happy together.     	Shami and Peter are very happy together.	"Afflicted by an outbreak of fever, they were speaking deliriously."
The task was of too herculean a nature to be accomplished within four years. 	The task was of too difficult a nature to be accomplished within four years.	Herculean battles took place daily.
I could live on these broccoli and there is no need for anymore to say.    	I could live on these broccoli.	I could live on very limited means.
Johnny was scared of his own shadow.  	Johnny was fearful.	The dog was scared of his own shadow.
Her eyes were gray and sharp like the points of two picks.  	Her eyes were very gray and sharp.	Two bars of the gate are sharp like the points of two picks.
Cry me a river.  	Cry a lot.	Last year my granpa went kayaking in a river.
"You can see what she's thinking, like she's almost transparent.  "	"You can see what she's thinking, she's easy to understand."	Layers of the retina are almost transparent.
What kind of sorcery is this?  	What is this incomprehensible thing?	Bad fortune was often attributed to sorcery.
Love is blind.     	Love makes you ignore bad things.	I think her friend is blind.
Precisely nothing could go wrong with his plan.    	Almost nothing could go wrong with his plan.	"I caught precisely nothing, not even a pea."
"And he was rich - yes, richer than a king.   "	"And he was rich - yes, very rich."	The Queen is more limited in her powers than a king would be.
I must impose chains upon myself.     	I must impose restrictions upon myself.	I sobbed as they placed the chains upon my back
An army of artists was crowding the room.   	A large group of artists was crowding the room.	A small army of security agents converged on the house.
I'm sure you are another Mother Teresa.    	I'm sure you are a good person.	Another Mother Theresa cannot exist.
Grandpa is older than dirt.    	Grandpa is very old.	Grandpa found more than dirt in the attic.
She shows no emotions: she has become an iceberg of a woman.  	She shows no emotions: she has become a cold woman.	Such examples represent the tip of an iceberg.
"The coffee was really good, but it costed me my monthly money.   "	"The coffee was really good, but it cost me a lot of money."	I started saving my monthly money.
Her boyfriend would obey her commands like a tame pet.   	Her boyfriend would obey her commands without hesitation.	The animal in question is a tame pet.
It's an indefensible sin to steal a pin.      	It's wrong to steal a pin.	Mixing alcohol and firearms was considered an indefensible sin in all of my safety courses.
They are unlike any other olives out there.    	The olives are better than other olives out there.	It is a town unlike any other I have known before.
He was born with crystal bones.      	He was born with fragile bones.	Crystal jewels are teardrop shaped.
"It's so hot, it feels like I'm in a sauna.    "	It's so hot.	She declared that the sauna was suffocating.
Franch's is more than the best.      	Franch's is the best.	"Ice-cream here is delicious, more than the best in our country."
"She smiled at me, I almost fell out of my chair.   "	She smiled at me and I was surprised.	"I was trying to get those waffles, and I fell out of my chair."
This new brand is unmistakable.        	This new brand is good.	Being aware of our thoughts is the unmistakable sign that we exist.
"I can't let go now, I'm possessed.     "	"I can't let go now, I'm deeply engrossed in this."	Barnes possessed excellent paintings by Cézanne.
The news has been blown out of all proportion.    	The news has been exaggerated.	The ballon has been blown out of proportion and has exploded.
I sold my soul to the Devil to get you through college.   	I worked hard to get you through college.	
Her strength awoke in poets a love that is eternal.   	Her strength awoke in poets an abiding love.	They supported the view that laws of nature are eternal.
This kind of anger rages like a sea in a storm.  	This kind of anger rages violently.	Fishermen pledged to combat the waves of the sea in a storm.
"Precious, self-contained, and solitary as an oyster.   "	"Precious, self-contained, and solitary."	This egg is slippery as an oyster.
He appeared like a descended god.      	He appeared graceful.	Jesus sits among men as a descended god.
"That said, I'm on the precipice of doom.    "	"That said, I'm feeling close to defeated."	The first attack brought doom to the colony.
The best education systems don't necessarily dole out piles of homework to students. 	The best education systems don't necessarily dole out a lot of homework to students.	They collected flat piles of twigs in the wood.
My little sister gravitates towards me. She's my satellite. 	My little sister moves around me. She's my follower.	Every satellite of Saturn gravitates towards the others.
"There are no leftovers, he's a dustbin!    "	"There are no leftovers, he eats a lot!"	He's sitting on a dustbin.
This room is an oven.  	This room is very hot.	Bake the bread in a preheated oven.
Why do we have four thousand forks and no spoons?  	Why do we have so many forks and no spoons?	A total sample of four thousand subjects was obtained.
It was a gust of fragrances.      	It was a sudden rush of fragrances.	I was buffeted by a gust of wind.
This is a tough situation. You're having a gorilla on top of you.  	This is a tough situation. You're having a lot of pressure.	Having a gorilla in the picture would ruin it.
I want to get you out of my head.  	I want to stop thinking about you.	Useful ideas come out of my head today.
There's dust everywhere.    	There's dust all around.	The horrors must be stopped everywhere.
He is so vicious that there should be a circle in Dante's Inferno specifically for him.  	He is so vicious that there should be a harsh punishment specifically for him.	A circle in Dante's Inferno is for the lustful.
"John was called ""the elephant of the class"" for his clumsiness.    "	John is very clumsy.	The elephant of the class is a book for children.
Looking for a featherweight tripod.   	Looking for a lightweight tripod.	A featherweight insect was flying about his head.
"With each of her screams, the world came apart.   "	"With each of her screams, the world felt very sorrowful."	She explained how the Arab world came apart.
I have a headache the size of Texas.  	I have a severe headache.	The diameter of the largest asteroid is about the size of Texas.
The true meaning of decadence can be found in this meal!  	This meal is decadent!	Ignorance of the true meaning of a word leads to misunderstanding.
Every one of her drawings is a rapture for the eyes.    	Each of his drawings is pleasing to the eyes.	The monk said he was lost in a spiritual rapture.
Have you seen the feverish activity in grandma's kitchen?     	Have you seen the very busy activity in grandma's kitchen?	To start with you may feel slightly feverish.
Hope deferred makes the heart sick.        	Hope deferred makes one sad.	Too much wine makes the heart sick.
He is more aged than the hills.        	He is very old.	This place is more remote the hills I had known.
There are ketchup die hard fans out there.      	There are big ketchup fans out there.	Cockroaches are die hard creatures.
If I tried to carry all that cargo in my head it would make me stoop-shouldered.  	If I tried to carry all that cargo in my head it would make me quite tired.	I may become stoop- shouldered and develop back problems.
"I don't lie, I'm a slave to the truth.    "	"I do not lie, I'm a teller of the truth."	The boy was given as a slave to the emperor.
You're too beautiful.      	You're beautiful.	Our wood was too big to fit the little hole.
My dad'll hit the roof when he finds out that I wrecked his car.  	My dad'll be very angry when he finds out that I wrecked his car.	The golf ball hit the roof of the house.
A player who can stop our team from winning the championship does not exist.  	A player who can stop our team from winning the championship would be hard to find.	The account does not exist in the registry.
He has an encyclopedic knowledge of the impressionists.    	He has a very impressive knowledge about the impressionists.	I started helping out with an encyclopedic dictionary.
The king can do no wrong.  	The king is above the law.	Babies can do no wrong.
Chris won't drive her home because she lives on the other side of the universe.   	Chris won't drive her home because she lives very far.	Chris wonders if there is civilization on the other side of the Universe.
"Your father is a legend, no one worked hard for the community like he used to do.  "	"Your father is well known, no one worked hard for the community like he used to do."	Muhammad Ali became a legend.
She enters my brain and cleans the mess.  	She orders my ideas.	Drug-infused blood entered my brain.
My heart burns for you.    	My heart shakes for you.	A flame burns a candle.
This croissant made my day.  	This croissant improved my day.	The news made my day happy.
"Once I get her tuned up, this old car will go like greased lightning.   "	"Once I get her tuned up, this old car will go very fast."	Greased lightning is a power fist variant with an hydraulic shock.
Most of the businesses here are already skating on thin ice because of the economy.  	Most of the businesses here are already facing financial hardships because of the economy.	"When skating on thin ice, move fast."
You're an infant dad.    	You're behaving childishly dad.	The infant can now understand English.
I can make the best pesto in the world.  	I can make a delicious pesto.	Kasparov proved the best chess player in the world several times.
Bittersweet nectar flows in measureless abundance.   	Bittersweet nectar flows in great abundance.	Parents' love is measureless.
Religion is the opiate of masse. 	Religion is the control of the people.	Opiates are prescribed to relieve acute pain.
"No one knows where Gatsby came from, but he was surely swimming in money.  "	"No one knows where Gatsby came from, but he surely had a lot of money."	A duck was swimming alone in the river.
"Julia is shy but when it comes to fashion business, she's a war machine.  "	"Julia is shy but when it comes to fashion business, she's a hard worker."	Catapults are an old war machine.
The story hit the web and inflamed the chat sites.   	The story hit the web and created excitement on the chat sites.	"By the time I looked at the fire, it had inflamed the trees."
"By the time Alf finishes that story, his beard will be three inches longer.   "	"By the time And finishes his story, a lot of time will have passed."	"In a few months, his beard will be three inches longer."
Punctuality is the soul of business.   	Punctuality is a crucial aspect of business.	Alchemists considered volatile oils to be the soul of a plant.
"At no point in my life I'll say ""never"".  "	"I avoid saying ""never"" at any point in my life."	Never share a needle or syringe if you're injecting drugs.
She gave a deadly glare at the people making fun of her.   	She gave a mean glare at the people making fun of her.	The invasion was deadly.
It's hot enough to fry an egg on the sidewalk.  	It's very hot.	Kids should stop sliding on the sidewalk.
He's leaping up and on the bed with such force he'll be catapulted through the roof.  	He's leaping up and on the bed too vigorously.	The stone was catapulted through the roof of the castle.
Needs must when the devil drives.   	Needs must when you are being desperate.	The devil drives to consider new opportunities.
Get a deep knowledge of that world which is man.   	Get a deep knowledge of that complex being which is man.	Regimes around the world were using new methods of repression.
The air I breathe in a room empty of you is unhealthy.  	I can't stand being away from you.	Clinical obesity is unhealthy.
I've drowned myself trying to help you.     	I've sacrificed a lot to help you.	I almost drowned myself in the lake.
She spilled the wine on the table...this is a catastrophe! 	She spilled the wine on the table...this is unfortunate!	Survivors informed us about the catastrophe.
"I mean, you have the kind of talent that I would chop off my head to have.   "	"I mean, you have the kind of talent that I admire."	The criminal had previously tried to chop off my hand.
They were gone in no time.     	They were gone quickly.	The operation results in no time limits being applicable.
He only has garbage in his brain.  	He only has bad thoughts in his brain.	Garbage littered the streets.
There was a magical atmosphere.     	There was a pleasant atmosphere.	There are magical creatures in the tale.
The new shampoo is ten times better than the other.   	The new shampoo is much better than the other.	The accuracy of the new algorithm is ten times better than the old.
"When spectre-like, I enter alone upon the stubble field. "	"When pale and silent, I enter alone upon the stubble field."	Spectre-like shadows were cast through the window.
"Sorry, I forgot my head at home.     "	"Sorry, I'm unfocused."	He caressed my head.
"I've been reading ""The little prince"" since I was knee-high to a grasshopper.  "	"I've been reading ""The little prince"" since I was a kid."	The grass is slowly growing. Now it is probably knee-high to a grasshopper.
"Nate discovered the reason why she's still single, despite a legion of suitors.  "	"Nate discovered the reason why she's still single, despite many suitors."	A legion of policemen was present.
His version of the facts is infinitely more convincing.    	His version of the facts is much more convincing.	The set of even numbers is an infinitely large.
My whole sense of being had been shattered by an emotional earthquake.   	My whole sense of being had been shattered by an emotional shock.	An earthquake destroyed buildings.
There's no index and the story isn't linear: this book is illegible.   	There's no index and the story isn't linear: this book is poorly written.	The signature was so faded that it was illegible.
The most fun you'll ever have.      	You'll have a great fun.	This Lamborghini is the most expensive car you'll ever have.
One picture is worth ten thousand words.    	One picture is sufficient to convey so much!	The first day he wrote ten thousand words.
I'm scared the spider will anaesthetize my legs and start chomping them.  	I'm scared the spider will anaesthetize my legs and start biting them.	I open the marshmallow bag and start chomping them down.
"March comes in like a lion, and goes out like a lamb.       "	March comes in fiercely and goes out meekly.	"This tiger is big like a lion, and white as a lamb."
What she touches turns to gold.     	What she touches becomes of value or blessed.	"At this point, the potion of the alchemist turns to gold."
John's new idea is a theoretical diamond. 	John's new idea is very valuable.	He has a tattoo of a diamond on the first finger.
Not a word of it made sense.     	Not much of it made sense.	Not a word was spoken in those final seconds.
I would eat pizza at every moment.   	I would eat pizza often.	The nation seems to be threatened by civil war at every moment.
The chance of your friend seeing us is astronomically small.   	The chance of your friend seeing us is very small.	Black holes are particularly interesting astronomically.
After lunch I was full to overflowing.       	After lunch I was very full.	Show him the folder overflowing with letters.
"At that point, the presidency was fatally wounded.    "	"At that point, the presidency was hard to recover."	The pilot was fatally wounded.
She has a magic touch I mean she fixes my problems.    	She is very helpful I mean she fixes my problems.	"By the magic touch of his wand, the different castes of men shall be sorted."
This is honestly the best seasoning salt in all the land.   	This is very nice seasoning salt.	Years of abundance was coming in all the land of Egypt.
The crowd was enchanted by the performance.       	The crowd was delighted by the performance.	A wicked witch enchanted the princess.
You're a grumpy bear.         	You're grumpy.	His son would like to adopt a bear.
He lost his shirt in the stock market.      	He lost all his money in the stock market.	He lost his shirt in the crowd.
Manners make the man.         	Manners are an important aspect of being a man.	Time and experience will make a man of him.
Football is all he cares about.       	Football is the thing he cares about the most.	All he wants to read is comics.
"I resign from humanity. I no longer want to be, nor can still be, a man. "	"I can't stand being a human. I no longer want to be, nor can still be, a man."	I resign from my job.
Living under my parents' control is a damnation!   	Living under my parents' control is awful!	The text is about the damnation of those who ignore morality.
Kilometric line at the cashier.   	A long line at the cashier.	Archaeologists uncovered a kilometric line of constructions.
My nephew is moving heaven and earth.  	My nephew is making huge efforts.	Heaven and earth are two opposing spheres.
She thinks avocado tastes like compost heaps.  	She thinks avocado tastes terrible.	The room where the old man lived smelled like compost heap.
The pain was unendurable.      	The pain was excruciating.	"I mean, kids are almost unendurable!"
Satisfaction floods into my veins.     	Satisfaction pleases me.	I received the transfusion. My father's blood now floods into my veins.
The level of discombobulation in the realm of global politics is simply colossal. 	The level of discombobulation in the realm of global politics is very high.	The stone temple was simply colossal.
John has a divine smile.   	John has a nice smile.	The nation is to represent the divine order established by God.
Sky is falling.      	Disaster is imminent.	The kite is falling.
My ex boyfriend! Treacherous snake!  	My ex boyfriend! Treacherous person!	A treacherous snake was slithering through my legs.
Sacrificed my french fries to his monstrous appetite.     	Sacrificed my french fries to his hunger.	Monstrous beings are frequent in myths.
I'm speechless!    	I am without many words.	Even speechless animals show anger.
When the girl lost her puppy she cried an ocean of tears.  	When the girl lost her puppy she cried many tears.	Here you get the real feel of the ocean.
My spirit is crying for leaving.   	I want to leave badly.	I was crying for leaving my home.
"I can't breathe, there are mountains of dust here.  "	"I can't breathe, there is a lot of dust here."	There are mountains nearby.
That child is getting into a whole world of trouble.   	That child is getting into a lot of trouble.	Alice followed the rabbit and reached a whole world of different creatures.
The eye of a master does more work than both his hands.   	The eye of a master is expert.	Anna does more work than both of you
In that library they have forests of books.      	In that library they have a lot of books.	It is in his interest to chop down our forests.
"Love, love, love these!    "	Love these very much!	I love you my dear.
He thinks that the affectual bonds prevalent in the older world has been pulverized by modernity. 	He thinks that the affectual bonds prevalent in the older world has been lessened by modernity.	He threw the pulverized contents into the air.
Knowledge without conscience is but the ruin of the soul.       	Knowledge without conscience would have a deleterious effect on your soul.	Faulty politics lead to the ruin of the country.
Your shoes can buy a bungalow.   	Your shoes are expensive.	You can buy a Bungalow in the historic district.
"When I was young, my family was my universe.   "	"When I was young, my family was my role model."	A harmonious rapport exists between mankind and the universe.
Illusion is the ultimate weapon.    	Illusion is a powerful tool.	The Tsar's ultimate weapon was his army.
The little girl was drowning in her tears.  	The little girl was crying a lot.	The little girl was drowning in the lake.
I'm living on bread and water.     	I'm living on very little.	Poor people here are living on bread and water.
He groaned as if he was being crushed.   	He groaned as if he was hurt.	My body was being crushed by a truck.
He put loads and loads of cream on his cake.  	He put lots of cream on his cake.	You see caravans delivering loads of water.
Newspapers only contain garbage and dirt.  	Newspapers only contain bad information.	Garbage and dirt accumulate in residential areas.
He is just building castles in the air if he does not take any action.   	He is just being fanciful if he does not take any action.	Building castles on the top of hills makes them safe.
I apologized like a madman.     	I apologized profusely.	The murderer was clearly a madman.
My powers are beyond your mortal imagination.   	My powers are difficult to understand.	My house is beyond the wall.
"I now embrace ""Hollywood"" endings, but there was a time when I genuflected to kill-offs. "	"I now embrace ""Hollywood"" endings, but there was a time when I liked kill-offs."	I genuflected to the tabernacle and left the church.
The minister is going to wreck the country with his budget cuts.    	The minister is going to harm the country with his budget cuts.	They're going to wreck the machines.
"He had a great reputation as an orator, and is characterized by Ennius as ""the quintessence of persuasiveness"".    "	"He had a great reputation as an orator, and is characterized by Ennius as the example of persuasiveness."	Abnegation is often regarded as the quintessence of love.
I have a horrible face today.   	My face is definitely not at my best today.	Gargoyles have a horrible face.
This is how to be irresistible to women.   	This is how to be attractive to women.	Social change occurs when irresistible forces come from outside.
The secretary was pounding the keyboard trying to finish the report.   	The secretary was hitting the keyboard trying to finish the report.	She was pounding the hammer against the iron bars.
I simply fell in love with these chips and refused to share them with my friends.   	I liked these chips and refused to share them with my friends.	I soon fell in love with his friend.
It's all top secret and now everybody's walking on eggshells.  	It's all top secret and now everybody's trying to be careful.	"When you walked on the cracky floor, it sounded like you were walking on eggshells."
They witnessed a paradise revealed on this very same earth.    	They witnessed a beautiful place on this very same earth.	He thought a place awaited him in paradise.
It is the last straw that breaks the camel's back.     	The last thing makes everything worse.	A cargo of four hundred kilos breaks the camel's back.
I am trying to solve a million issues these days.    	I am trying to solve many issues these days.	They implemented a system that can solve a million issues.
Their latest album blasted its way up the charts.    	Their latest album quickly moved up the charts.	They had blasted their way with dynamite.
It's raining cats and dogs.          	It's raining hard.	Cats and dogs are not allowed in the sandpit.
Saying the entire campaign is ill-informed because you disagree with one point is throwing out the baby with the bathwater. 	Saying the entire campaign is ill-informed because you disagree with one point is losing valuable things to get rid of what is not wanted.	The mother had the intention of throwing the baby out of the window.
Everybody's eyes are as large as saucers.        	Everybody's eyes are very big.	"Many mushrooms had sprouted, which were as large as saucers."
Dad went ballistic when he saw the dent in his car.    	Dad became very angry when he saw the dent in his car.	Ballistic missile defence programmes were reinforced.
Granma was a harsh school girl who made kids behave. She was a real paint-remover.   	Granma was a harsh school girl who made kids behave. She was a real strict person.	You should clean the wall with a real paint-remover.
The lesson was taking forever.       	The lesson was taking a long time.	I won't be a tourist forever.
The cream you bought will last for centuries.    	The cream you bought will last for a long time.	I am studying the literature of the last three centuries.
"As the exam date approaches, she becomes a sort of hermit, spending all her time in her room.    "	"As the exam date approaches, she becomes a sort of hermit, spending most of her time in her room."	"This summer, she has been spending all her time in Europe."
I've had to reinvent myself from the ruins of my choices.   	I've had to make a new beginning from the bad outcome of my choices.	The house is built from the ruins of the old stables.
"Apparently, my fingers are made of butter tonight.   "	"Apparently, my fingers are slippery tonight."	Something smothered in a sauce made of butter.
It is intolerable to live without my phone.    	It is uncomfortable to live without my phone.	If the relationship becomes intolerable
I am exceedingly sorry.         	I am really sorry.	The door was exceedingly big for that wall.
Look at her furious fingers articulating words as she writes the report.  	Look at her fast moving fingers articulating words as she writes her report.	The emperor was furious with the defeat.
The meeting was a nightmare.   	The meeting was terrible.	He sleeps soundly without a nightmare.
My sister is a vortex of intelligence in space.  	My sister is intelligent.	The generator can create a vortex of air in the space.
"I'm so drunk, the world spinning around.   "	"I'm so drunk, I feel dizzy."	The lesson was about the world spinning around its axis.
You are slower than a snail.     	You are very slow.	The big wheel moved slower than a snail.
"Your interpretation goes too far, it's a Pindaric flight.  "	"Your interpretation goes too far, it lacks of unity."	That was the end of the pindaric flight.
My parents would have about two hemorrhages apiece if I told anything personal about them.   	My parents would have a fit if I told anything personal about them.	Patients were diagnosed with intracranial hemorrhages.
We've been here countless times.   	We've been here many times.	Cells divide countless times during a lifetime.
He has the charisma of a traffic cone.   	He has little charisma.	He wears a hat in the shape of a traffic cone.
You guys are both less than zero help.   	You guys are of no help.	The temperature is less than zero degrees.
"But you are mute, mute as a fish.   "	"But you are mute, quiet."	"Of course he was mute as a fish, he was dead."
"Getting older helped me clarify the events of my childhood, without exceptions.   "	Getting older helped me clarify some childhood memories.	The law applies without exceptions.
I am crushed by a corrupt and criminal justice system. 	I am being harmed by a criminal and corrupt justice system.	They remained terrified of being crushed by the mob.
I am in the middle of an emotional tornado.    	I am in the middle of emotional turmoil.	He was in the middle of a tornado on the highway.
The act of love strongly resembles torture.   	The act of love strongly resembles severe pain.	Sometimes surgery resembles torture.
A hundred thousand apologies would not be enough.   	Many apologies would not be enough.	A hundred thousand people were killed here.
His feet are colder than the arctic.    	His feet are very cold.	The Antarctic is colder than the Arctic.
"Well, you've got an empty head.      "	"Well, you are unable to understand some things."	Brain areas were drawn on the image of an empty head.
Sometimes asking feels like firewalking.   	Sometimes asking feels very dangerous.	The entertainment at the resort was firewalking.
Johnny worshipped the ground Dallas walked on.   	Johnny was very fond of the ground Dallas walked on.	Johnny worshipped the statue of the reigning ruler.
"You unreasonable, pompous, blustering, old windbag!  "	"You unreasonable, pompous, blustering, old bigmouth!"	"When I blew into the windbag, it created an area of lower pressure."
It's been a lifetime since I found someone nice to me.  	It's been a long time since I found someone nice to me.	You will face a lifetime ban.
"Here I sit, sunk in my thoughts.       "	"Here I sit, focused on my thoughts."	Lots of vessels sunk in the storm.
I'd rather French kiss a rattlesnake than miss a gym period.  	I'd rather pay dearly than miss a gym period.	Do not try to French kiss a rattlesnake.
